english_text,uzbek_text,label
i have been feeling the need to be creative,Men ijodiy bo'lish kerakligini his qildim,1
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,"Ammo shuni bilishingizni xohlaymanki, agar kimdir sizni his qilishingizga sabab bo'lsa, sizning ajoyib o'zingizni undan uzoqlashtirasiz.",1
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,"Men keksa bir janobga sovg'a so'rash uchun yozishni biroz qo'pol his qilyapman, chunki men o'zimni bir oz ochko'z his qilyapman, lekin Rojdestvo nimani anglatadi, agar engil ochko'zlik bo'lmasa",3
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,"Menga sen keraksan menga kimdir himoyalanishim va o'zimni xavfsiz his qilishim kerak men hozir kichkinaman, men o'zimni so'zsiz mavsumda topaman",1
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,Men siz bilan o'zimning kundalik hayotim hikoyalarimni sayohat sarguzashtlari va qo'lda yasalgan ijodlarimni baham ko'rishni rejalashtirmoqdaman va siz ham ilhomlanasiz degan umiddaman,1
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,"Menda allaqachon ikkita Rojdestvo daraxtlarim bor va men o'zimni bayramona his qilyapman, bu meni ushbu kitobni boshlashga undayotganiga aminman",1
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,"Men uni bir marta o'z-o'zidan bir oz konsiler bilan kiyib oldim va kunlar davomida o'zimni jasorat his qilyapman, lekin rangpar bo'lishni xohlamayman, shunda u mukammal",1
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,"Qachonki bir jinni bizni kaltaklashga va masxara qilishga qaror qilganida, men juda qattiq ishtiyoqni his qilaman",1
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,"Men juda tushkunlikka tushdim, biz bu yil sigirimizni olish uchun Polga pul to'lash uchun Piterni o'g'irlayapmiz, lekin biz sigirni bu yo'l bilan ololmaymiz.",0
i was feeling listless from the need of new things something different,Men o'zimni yangi narsalarga muhtojligimdan befarq his qilardim,0
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,"Men o'zgacha ongimni yo'qotdim, lekin xavotir olmang, men hali ham aqlim joyidaman, men bu kitobni o'qiyotganda nimani his qilganimni his qilishingizni xohlardim, bilmayman, Sem o'zgacha edi, deb necha marta aytilgan, lekin men sizga kafolat bera olamanki, u bundan bir necha marta ko'proq bo'lgan. Men ushbu paragrafda nima ishlatgan bo'lsam, men sizga uning o'ziga xosligini aytdim",1
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,Men o'zimning birinchi uyimda qabul qilinishini xohlayman degan qayg'uli tuyg'udan xalos bo'lolmayman,2
on a boat trip to denmark,Daniyaga qayiq safarida,1
i stopped feeling cold and began feeling hot,Men sovuqni his qilishni to'xtatdim va issiq his qila boshladim,3
i need to feel the dough to make sure its just perfect,Men xamirning mukammal ekanligiga ishonch hosil qilishim uchun uni his qilishim kerak,1
i found myself feeling a little discouraged that morning,O'sha kuni ertalab o'zimni biroz tushkunlikka tushganimni ko'rdim,0
i feel selfish and spoiled,Men o'zimni xudbin va buzilgan his qilyapman,3
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,"Yozganimdan so'ng, men qayoqqadir hikoya bilan ko'zda tutilmagan holda borishimga ishonchim komil emasligini his qilib, biroz to'sqinlik qildim.",4
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,i bag qaf qara kim yig'layapti endi jacynthe yaxshi ko'rinyapti go'zal rupaul terilari qaychi opalar valentin quyosh to'ygan Kayle kim sizning dadangiz gerling uyg'onib muruvvatsiz u,1
i feel you know basically like a fake in the realm of science fiction,Men sizni ilmiy fantastika sohasidagi soxta narsa kabi bilasiz deb o'ylayman,0
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,"Men otamning tomi ostida yashashni yomon ko'raman, chunki bu unga meni xo'rchoq bo'lish uchun bahona qiladi, chunki u meni shu yerda yashashimga yordam beradi, menimcha, u meni iloji boricha yoqimsiz his qilishim kerakligini his qiladi, shuning uchun uni tark etadi.",0
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,Men uning qo'llab-quvvatlashidan va yangi vaziyatlarda qulayligidan hayratda qolaman,5
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,"Menda shunday tuyg'u borki, agar kelgusida yana kuchli jinsiy faoliyatga ega bo'lsam, ha, men noto'g'ri yozganman, bu kunlar o'tib, mening qismlarim tushib keta boshlaydi.",1
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,Men o'zimni tarbiyalash va davolanish uchun vaqtimni o'g'irlaganimda onamning nafis iliq tabassumini his qilaman,1
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,"Men ularning suhbatida qaynona juda mashhur, deb o'ylashim mumkin bo'lmagan odamni juda qattiq his qilaman",1
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,"Men ovqatlandim, go'yo hujayra darajasida shifo bo'layotganini his qilgandek, mayin qichishishni his qildim.",2
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,Men o'zimni yosh go'zal ozg'in bo'lishga bosim o'tkazayotgandek his qilyapman va qizlarning yoshartirilishi yoki dumba implantatsiyasi tendentsiyasiga qarab,4
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,"Men ularni haftada bir necha marta odamlarni harakatga keltiruvchi gallyutsinatsiyalar, tovushlar va tebranishlar bilan qiynoqqa solishni boshladim.",4
i am now nearly finished the week detox and i feel amazing,Men haftalik detoksni deyarli tugatdim va o'zimni ajoyib his qilyapman,5
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,"Oldingi xabarlarimni o'qiganimda o'zimni xudbinlik his qildim, qanday qilib men hech qachon boshqalar uchun ibodat so'ramaganman, qanday qilib u erda mening duolarimdan oldin javob berishga loyiq bo'lganlar borligini hech qachon o'ylamaganman.",3
i know the pain parents feel when an enraged child becomes violent,Men ota-onam g'azablangan bola zo'ravon bo'lganda qanday og'riqni his qilishini bilaman,3
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,Men yoqimsiz narsa kelayotgani haqidagi taxmin qilingan his-tuyg'ular tufayli his-tuyg'ular saroyida bo'ldim.,0
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,"O'ylaymanki, o'zimning haqiqatimni aytish kerak",2
i was feeling brave when i bought it and clearly when i was doing my makeup,Men uni sotib olganimda va bo'yanish paytida o'zimni jasur his qilardim,1
i am feeling miserable but c i am also the proudest mum on earth,"Men o'zimni baxtsiz his qilyapman, lekin men yer yuzidagi eng mag'rur onamman",0
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,"Mening oilam bizni nima bo'lishidan qat'iy nazar sevadi deb o'ylayman, lekin boshqalarning yonida Mishel ballistik bo'lganida men uyalib ketaman",0
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,"Men hamma hikoyalarda bomba va jinsiy aloqa zarur deb o'ylamayman, lekin ularni bosma jurnallarda ko'rganimda o'zimni xotirjam his qilaman",1
i can feel my ovaries aching talking to me as i like to put it,"Tuxumdonlarim og'riyotganini his qila olaman, men bilan gaplashib aytmoqchiman",0
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,Men Krisni ko'p qilishni xohlamadim va men asosan ahamiyatsiz narsalarni juda ko'p suratga oldim,0
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,"Men kitobdan charchadim va uni bu yerdan olib tashlashga tayyorman va menga mos bo'lmagan tasvirlar berilganligini bilib, natijada o'zini aybdor his qilish yaxshi o'tirmadi.",0
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,"men mxm tuvalini muvaffaqiyatli cho'zishga muvaffaq bo'ldim, bu men uchun o'z-o'zidan yutuq va pulim va vaqtimdan unumli foydalanish bo'lganini his qilyapman.",1
i think feelings are one of nay the most important things we have,"Menimcha, his-tuyg'ular bizda mavjud bo'lgan eng muhim narsalardan biridir",1
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,Men bu yosh iste'dodli to'liq tirik go'zal qiz ayolga ta'sir o'tkazganimdan juda faxrlanaman,1
i feel angered and firey,Men o'zimni g'azablangan va olovli his qilyapman,3
i feel like a miserable piece of garbage,Men o'zimni baxtsiz axlat bo'lagidek his qilyapman,0
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,"Men ro'yxat tuzishim kerakligini his qilyapman, Leanne hech narsani o'tkazib yubormaslik uchun bu fikrdan dahshatga tushadi.",3
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,"Men dannikani maktabga haydab ketdim, o'zimni biroz shoshqaloqlik his qildim va burchakdan burilgach, meni kutib oldim.",3
i remember feeling so hellip furious with the shooter,Men otishmachidan juda g'azablanganimni eslayman,3
i feel very happy and excited since i learned so many things,Men juda ko'p narsalarni o'rganganimdan beri o'zimni juda baxtli va hayajonli his qilyapman,1
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,"Men shoularda va shou otlari atrofida odamlar ishonchli va bo'shashayotganini his qilaman, chunki ko'pchilik shou otlari xavfsiz va jim bo'lib, tez-tez muomala qilinadi.",1
i only have a couple of things left to make and at the start of december i am done and feeling smug,Menda bir nechta ish qoldi va dekabr oyi boshida men o'zimni o'zimni o'zim his qilyapman,1
i think about how u could make me feel and realize that everything will be ok,Qanday qilib meni his qilishingiz va hammasi yaxshi bo'lishini anglashingiz haqida o'ylayman,1
i feel so worthless during those times i was struggling finding work,Ish topishda qiynalayotgan o'sha paytlarda o'zimni juda qadrsiz his qildim,0
i will be able to lay on my bed in the dark and not feel terrified at least for a while,Men qorong'uda to'shagimda yotaman va hech bo'lmaganda bir muddat qo'rqib ketmayman,4
i was ready to meet mom in the airport and feel her ever supportive arms around me,Men onamni aeroportda kutib olishga va uning meni doimo qo'llab-quvvatlayotganini his qilishga tayyor edim,2
im feeling bitter today my mood has been strange the entire day so i guess its that,"Bugun o'zimni achchiq his qilyapman, mening kayfiyatim kun bo'yi g'alati edi, shuning uchun o'ylaymanki, bu shunday",3
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,"onam akam avtohalokatga uchrab vafot etganida, u menga sovg'a olib kelayotgan edi, chunki men beshta imtihondan muvaffaqiyatli o'tgan edim.",0
i am letting go of the animosity that is towards anyone that i feel has wronged me,Menga zulm qilgan deb hisoblagan har qanday odamga nisbatan adovatdan voz kechaman,3
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,"Men itlar bilan gaplashaman, chunki ular so'zlarni tushunolmaydilar, lekin ular his-tuyg'ularni o'qiy oladilar va qanday qilib qo'llab-quvvatlashni bilishadi, men uyga borishga qaror qildim.",2
i feel like throwing away the shitty piece of shit paper,Men ahmoq qog'ozni tashlamoqchi bo'ldim,0
im starting to feel wryly amused at the banal comedy of errors my life is turning into,Hayotimga aylanib borayotgan xatolar komediyasidan o'zimni kulgili his qila boshladim,1
i find every body beautiful and only want people to feel vital in their bodies,Men har bir tanani chiroyli deb bilaman va faqat odamlar o'z tanalarida hayotiylikni his qilishlarini xohlayman,1
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,"Eshitdimki, o'z assotsiatsiyalari tomonidan qurbon bo'lgan mulkdorlar, uyushmalar advokatlari yoki mulk boshqaruvchisi",0
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,"Men oilam bilan xayrlashaman, ularning hammasi yig'lab g'amgin va o'zimni yuraksiz kaltak kabi his qilyapman, chunki men birinchi marta uchayotganimdan juda xursandman va siz ham bilasizki, boshqa mamlakatda bir yil o'tkazish",3
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,"Men bolaning yig'lashiga yo'l qo'ymayman, chunki men uni va nilufarni kichkinaligida sevish faqat bir necha oy davom etgan imkoniyat bo'lishini his qilaman.",2
i alba i feel good and im fitting in,Men o'zimni yaxshi his qilyapman va bunga moslashyapman,1
i feel excited about what im doing again i feel like i have a ton of catching up to do,"Men yana nima qilayotganimdan hayajondaman, men qilishim kerak bo'lgan juda ko'p ishim borligini his qilyapman",1
i also know how good it feels to look back and see that i honored my word and that helps from the start,"Ortga nazar tashlab, o'z so'zimni hurmat qilganimni ko'rish qanchalik yaxshi ekanini bilaman va bu boshidanoq yordam beradi",1
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,"Men ushu bo‘yicha bunday yuqori texnik mahoratga ega bo‘lish uchun chindan ham mashaqqatli mehnatni nazarda tutmoqchiman, bolalar charchaganiga qaramay, chin dildan ushu spektakllarini bajarayotganini ko‘rganimda biroz uyalaman, lekin qandaydir turtki bo‘ldim.",0
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,"Menimcha, bu tonerning bir necha spritlari meni tinchlantirishga va tinchlantirishga yordam beradi.",1
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,"Umid qilamanki, siz odamga o'zini yoki uning ahvolini yaxshiroq his qilish uchun shunchalik oz kuch sarflanishini tushunasiz, u men oila a'zosimi, kollej yoki o'rta maktabdagi do'stmi, ko'chadagi qo'shnimi yoki hatto begona odammi?",1
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,"Bugun men o'zimni shunchalik bayramona his qilyapmanki, men buni tugatgandan so'ng daraxtni qo'yaman va toj ko'chasidagi hafta voqealari bilan tanishaman.",1
finding out that i am not ill not seriously,jiddiy kasal emasligimni bilib oldim,1
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,"Men darsni yaxshi o'tkazdim, lekin o'zimni o'zimni omadsiz his qilish kechki stressni boshdan kechirish va dahshatli haftam kurashni tugatganimdan keyin yig'lab yuborishimga olib keldi.",0
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,Men buni kamdan-kam hollarda biron bir foydali sababga olib kelishini his qilaman va men har doim birovning yuziga aytishga tayyor bo'lmagan narsalarni Internetga joylashtirmaslik qoidasiga amal qilaman.,1
i am feeling all useful,Men hamma narsani foydali his qilyapman,1
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,Men sizning ba'zilaringizning og'rig'iga o'xshayman va siz guruhga yoki og'riq keltiradigan g'oyaga ishtiyoqli bo'lishni tasavvur qila olmaysiz,2
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,"Men o'zimni xunuk his qilyapman, chiroyli ko'ylakdan ko'ra jingalak shimlar va kozok kiyishga ko'proq moyilman, lekin o'zimga bo'lgan hurmatimni biroz oshirish uchun uyim atrofida bir juft poshnali tufli kiysam ham bo'ladi, lekin men yangi juft sotib olishga qiynalmayman.",0
im not feeling homesick yet so im feeling alright about this,"Men hali uyni sog'inmayapman, shuning uchun o'zimni yaxshi his qilyapman",0
i dance i should feel pretty,"Men raqsga tushaman, o'zimni go'zal his qilishim kerak",1
i workout every morning before and feel fabulous for it,Men har kuni ertalab mashq qilaman va buning uchun ajoyib his qilaman,1
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,"Men bularning barchasini uning ko'zlaridan uning teginishidan yoki so'zlaridan emas, balki uning ko'zlaridan his qilaman, men bu sevgini albatta qaytarishim mumkinligini va bu behuda bo'lmasligini bilaman.",0
i was feeling fabulous until friday morning when i started to get these awful cramps at work,Ishda bu dahshatli kramplarni boshlaganimda juma kuni ertalabgacha o'zimni ajoyib his qilardim,1
i feel honoured to have been able to call them friends to share their brotherhood,Men ularni birodarliklarini baham ko'rish uchun do'st deb ataganimdan faxrlanaman,1
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,"Qalin qora yomg'ir bulutlari shahar osmoniga bostirib kirganda, men qo'rqishni boshlagandim",4
i had stated to her the reason i feel so fearful is because i feel unsafe,"Men unga o'zimni juda qo'rqinchli his qilishimning sababini aytdim, chunki men o'zimni xavfli his qilaman",4
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,"Men hali tsadan larzaga tushishni istamadim, shuning uchun tushlik qilish uchun ijodiy kruvasanlardan chetga chiqdim.",4
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,"Men guruhlarga kiraman, o‘zimni juda noqulay his qilaman va haddan tashqari gapirayapman yoki jim bo‘lib qolaman",0
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,"Men har doim yonimda bo'ladigan o'sha hamroh bilan nihoyat uchrashganimdan juda xursandman, ayniqsa men yolg'iz qolganimda, meni hech qachon xafa qilmaydigan va meni quchoqlab, meni sevishimni his qiladigan hamroh bilan uchrashganimdan juda xursandman.",2
i feel they are pretty safe on my blog img src http s,img src http s blogimda ular juda xavfsiz ekanligini his qilyapman,1
i feel pretty eager to get it done as i have a fun plan for quilting it,"Men buni amalga oshirishni juda xohlayman, chunki menda uni to'qish uchun qiziqarli reja bor",1
i am feeling horny so i ask her that lets go home,"Men o'zimni tug'yonga ketyapman, shuning uchun men undan uyga ketishini so'rayman",2
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,"Menimcha, agar she'r menga bosim o'tkazmasa, men o'zimni his qilishdan ko'ra ko'proq his qilish ma'nosida o'zimni noqulay his qilmayman deb o'ylayman.",4
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,Men ham o‘zimni begona yurtda begonadek his qilyapman va o‘g‘limni otasining ajdodlari bo‘lmagan joyda tarbiyalayotgandekman.,5
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,"Men nima his qilyapman deb dushga ketdim, u juda ajoyib tanasi edi, o'z harakatlariga juda ishonadi.",1
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,"Men o'zimni baquvvat va chaqqon his qilyapman, men sport zaliga borganimdan bolalarim bilan tashqarida yuguraman yoki bolalar aravasida uzoq sayr qilishdan ko'ra ko'proq xursandman, men uchalasini ham bir kunda bajaraman",1
i was still feeling strong,Men hali ham kuchli his qilardim,1
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,"Men yig'lab yubormadim yoki boshqa dahshatli his-tuyg'ular yoki fikrlardan ozod bo'lmadim, chunki men boylar ham o'z makonini bosib o'tishlari kerakligini bilgandek edim.",1
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,"Men bugun ertalab qovoqli ziravorli latte olmoqchi edim, lekin u issiq edi va men xohlagan oxirgi narsa issiq qahva edi, balki o'zimni biroz achchiq his qilyapman",3
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,"O'ylaymanki, u o'zini yomon his qilmoqda, chunki u so'nggi bir necha oy ichida uning og'rig'iga bir oz shubha bilan qaragan, o'tmishda u giperxondriya va bo'rttirish odati bo'lgan, lekin u hech qachon bu haqda ochiqchasiga so'ramagan.",4
i clench to the corners of the bed to feel assured,Men o'zimni ishonchli his qilish uchun to'shakning burchaklariga siqilaman,1
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,Men ham bor hayotim va undagi ajoyib narsalar uchun minnatdor bo'lmaslik uchun o'zimni xudbinlik qilayotgandek his qilyapman,3
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,"Men uni xudo deb atadim, chunki men kitobda xudoni ko'rganman va xudoni shubhasiz tasdiqlagan va qabul qilingan his qilish uchun to'g'ri ism deb o'yladim.",2
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,"Bilmadim, nega ofisdagi boshqa qizlarning sochlari kalta bo'lganligi uchundir yoki o'zimni shunchaki isyonkor his qilganman",3
i do not feel miserable at all because my family is not the type that celebrates eid,"Men o'zimni umuman baxtsiz his qilmayman, chunki mening oilam hayitni nishonlaydigan odamlar emas",0
i might go get a car wash if i am feeling really generous my car needs it,"Agar men chindan ham saxovatli bo'lsam, mashinamga kerak bo'lsa, mashina yuvishga borishim mumkin",1
i still feel sleep deprived she is almost sleeping through the night giving us,"Men hali ham uyqusiz his qilyapman, u deyarli tun bo'yi uxlayapti",0
i just feel really violent right now,Men hozir juda zo'ravon his qilyapman,3
